Timepoint,Fern.type,Arsenic.concentration,Sample.type,SumCount
T0,PE,0,root,1
T0,PE,0,shoot,3
T0,PE,0,soilB,2
T0,PE,0,soilR,3
T0,PE,25,root,3
T0,PE,25,shoot,4
T0,PE,25,soilB,5
T0,PE,25,soilR,3
T0,PE,50,root,4
T0,PE,50,shoot,4
T0,PE,50,soilB,1
T0,PE,50,soilR,2
T0,PV,0,root,3
T0,PV,0,shoot,3
T0,PV,0,soilB,3
T0,PV,0,soilR,3
T0,PV,25,root,3
T0,PV,25,shoot,3
T0,PV,25,soilB,3
T0,PV,25,soilR,4
T0,PV,50,root,3
T0,PV,50,shoot,6
T0,PV,50,soilB,3
T0,PV,50,soilR,2
T0,Soil,25,soil,3
T0,Soil,50,soil,2
T0,.,25,soil,1
T12,PE,0,root,3
T12,PE,0,shoot,3
T12,PE,0,soilB,3
T12,PE,0,soilR,3
T12,PE,50,soilB,3
T12,PV,0,root,3
T12,PV,0,shoot,3
T12,PV,0,soilB,2
T12,PV,0,soilR,3
T12,PV,25,root,5
T12,PV,25,shoot,6
T12,PV,25,soilB,5
T12,PV,25,soilR,6
T12,PV,50,root,6
T12,PV,50,shoot,6
T12,PV,50,soilB,6
T12,PV,50,soilR,5
T12,Soil,0,soil,6
T12,Soil,25,soil,4
T12,Soil,50,soil,4
T6,PE,0,root,3
T6,PE,0,shoot,3
T6,PE,0,soilB,3
T6,PE,25,root,3
T6,PE,25,shoot,3
T6,PE,25,soilB,3
T6,PE,25,soilR,2
T6,PE,50,root,2
T6,PE,50,shoot,3
T6,PE,50,soilB,3
T6,PE,50,soilR,3
T6,PV,0,root,3
T6,PV,0,shoot,3
T6,PV,0,soilB,3
T6,PV,0,soilR,3
T6,PV,25,root,3
T6,PV,25,shoot,2
T6,PV,25,soilB,3
T6,PV,25,soilR,3
T6,PV,50,root,3
T6,PV,50,shoot,3
T6,PV,50,soilB,2
T6,PV,50,soilR,3
T6,Soil,25,soil,3
T6,Soil,50,soil,2
T7,PE,0,root,3
T7,PE,0,shoot,2
T7,PE,0,soilB,3
T7,PE,0,soilR,3
T7,PE,25,root,5
T7,PE,25,shoot,5
T7,PE,25,soilB,5
T7,PE,25,soilR,6
T7,PE,50,root,6
T7,PE,50,shoot,6
T7,PE,50,soilB,6
T7,PE,50,soilR,6
T7,PV,0,root,3
T7,PV,0,shoot,3
T7,PV,0,soilB,2
T7,PV,0,soilR,2
T7,PV,25,root,5
T7,PV,25,shoot,5
T7,PV,25,soilB,6
T7,PV,25,soilR,6
T7,PV,50,root,6
T7,PV,50,shoot,6
T7,PV,50,soilB,5
T7,PV,50,soilR,6
T7,Soil,0,soil,2
T7,Soil,25,soil,3
T7,Soil,50,soil,3
.,.,.,.,8
